GameNumber,RallyNumber,StrokeNumber,Frame,FrameNumber,Player,Stroke,ScoreP0,ScoreP1,Phase,is_serve,score,rally_position,band,rally_id,color,effectiveness,effectiveness_label,reason,rally_start_frame,rally_end_frame,rally_start_ms,rally_end_ms
2,2,2,frame_25877,25877,P0,backhand_lift,0,1,start,False,0.4,2,3,2,green,82.0,Excellent (82%),backhand_lift → backhand_clear → forehand_smash,25839,25931,861300,864367
2,2,4,frame_25931,25931,P0,forehand_smash,0,1,start,False,1.0,4,5,2,red,,Error,P0 made an error,25839,25931,861300,864367
2,3,4,frame_26554,26554,P0,overhead_smash,0,2,start,False,1.0,4,5,3,red,,Error,P0 made an error,26458,26554,881933,885133
2,4,2,frame_26867,26867,P0,backhand_netkeep,0,3,start,False,0.7,2,4,4,darkred,34.0,Bad (34%),backhand_netkeep → backhand_dribble → forehand_netkeep_cross,26832,26919,894400,897300
2,4,4,frame_26919,26919,P0,forehand_netkeep_cross,0,3,start,False,0.7,4,4,4,red,,Error,P0 made an error,26832,26919,894400,897300
2,5,4,frame_27357,27357,P0,overhead_smash,0,4,start,False,1.0,4,5,5,green,100.0,Excellent (100%),overhead_smash → forehand_defense_cross → forehand_netkeep,27260,27537,908667,917900
2,5,10,frame_27537,27537,P0,forehand_nettap,0,4,start,False,0.5,10,3,5,green,,Winner,P0 hit a winner,27260,27537,908667,917900
2,6,3,frame_27996,27996,P0,forehand_defense,1,4,start,False,0.1,3,1,6,darkred,34.0,Bad (34%),forehand_defense → overhead_clear → forehand_clear,27919,28369,930633,945633
2,6,7,frame_28118,28118,P0,forehand_smash_cross,1,4,start,False,1.0,7,5,6,green,100.0,Excellent (100%),forehand_smash_cross → forehand_defense → backhand_netkeep,27919,28369,930633,945633
2,6,9,frame_28173,28173,P0,backhand_netkeep,1,4,start,False,0.7,9,4,6,red,40.0,Poor (40%),backhand_netkeep → forehand_netkeep → backhand_lift,27919,28369,930633,945633
2,6,11,frame_28234,28234,P0,backhand_lift,1,4,start,False,0.4,11,3,6,darkred,0.0,Bad (0%),backhand_lift → forehand_smash → forehand_defense,27919,28369,930633,945633
2,6,13,frame_28292,28292,P0,forehand_defense,1,4,start,False,0.1,13,1,6,darkred,12.0,Bad (12%),forehand_defense → forehand_lift → overhead_drop_cross,27919,28369,930633,945633
2,7,3,frame_28920,28920,P0,backhand_defense,2,4,start,False,0.1,3,1,7,darkred,18.0,Bad (18%),backhand_defense → forehand_netkeep_cross → forehand_lift_cross,28841,28977,961367,965900
2,7,5,frame_28977,28977,P0,forehand_lift_cross,2,4,start,False,0.4,5,3,7,red,,Error,P0 made an error,28841,28977,961367,965900
2,8,2,frame_29355,29355,P0,forehand_smash_cross,2,5,start,False,1.0,2,5,8,green,,Winner,P0 hit a winner,29319,29355,977300,978500
2,9,3,frame_29974,29974,P0,forehand_drop,3,5,start,False,0.3,3,2,9,red,,Error,P0 made an error,29889,29974,996300,999133
2,10,2,frame_30368,30368,P0,overhead_drop_cross,3,6,start,False,0.3,2,2,10,darkred,34.0,Bad (34%),overhead_drop_cross → backhand_netkeep_cross → backhand_netkeep,30307,30495,1010233,1016500
2,10,6,frame_30495,30495,P0,overhead_smash_cross,3,6,start,False,1.0,6,5,10,green,,Winner,P0 hit a winner,30307,30495,1010233,1016500
2,12,6,frame_31527,31527,P0,forehand_clear,4,7,start,False,0.45,6,3,12,red,40.0,Poor (40%),forehand_clear → overhead_clear → forehand_drop_cross,31380,31723,1046000,1057433
2,12,8,frame_31594,31594,P0,forehand_drop_cross,4,7,start,False,0.3,8,2,12,darkred,19.0,Bad (19%),forehand_drop_cross → forehand_netkeep_cross → forehand_lift_cross,31380,31723,1046000,1057433
2,12,10,frame_31659,31659,P0,forehand_lift_cross,4,7,start,False,0.4,10,3,12,darkred,0.0,Bad (0%),forehand_lift_cross → forehand_drive → backhand_defense_cross,31380,31723,1046000,1057433
2,12,12,frame_31723,31723,P0,backhand_defense_cross,4,7,start,False,0.1,12,1,12,green,,Winner,P0 hit a winner,31380,31723,1046000,1057433
2,13,3,frame_32369,32369,P0,forehand_smash,5,7,start,False,1.0,3,5,13,green,100.0,Excellent (100%),forehand_smash → backhand_defense_cross → backhand_netkeep,32294,32446,1076467,1081533
2,15,3,frame_34557,34557,P0,backhand_defense,6,8,start,False,0.1,3,1,15,darkred,2.0,Bad (2%),backhand_defense → forehand_dribble → backhand_lift_cross,34481,34882,1149367,1162733
2,15,5,frame_34614,34614,P0,backhand_lift_cross,6,8,start,False,0.4,5,3,15,red,42.0,Poor (42%),backhand_lift_cross → overhead_clear_cross → overhead_drop_cross,34481,34882,1149367,1162733
2,15,7,frame_34685,34685,P0,overhead_drop_cross,6,8,start,False,0.3,7,2,15,darkred,19.0,Bad (19%),overhead_drop_cross → backhand_netkeep_cross → backhand_lift,34481,34882,1149367,1162733
2,15,9,frame_34749,34749,P0,backhand_lift,6,8,start,False,0.4,9,3,15,darkred,8.0,Bad (8%),backhand_lift → forehand_drive → backhand_defense,34481,34882,1149367,1162733
2,15,11,frame_34803,34803,P0,backhand_defense,6,8,start,False,0.1,11,1,15,red,37.0,Poor (37%),backhand_defense → forehand_lift_cross → flat_game,34481,34882,1149367,1162733
2,15,13,frame_34842,34842,P0,flat_game,6,8,start,False,0.65,13,4,15,green,100.0,Excellent (100%),flat_game → backhand_defense → forehand_netkeep_cross,34481,34882,1149367,1162733
2,15,15,frame_34882,34882,P0,forehand_netkeep_cross,6,8,start,False,0.7,15,4,15,red,,Error,P0 made an error,34481,34882,1149367,1162733
2,16,2,frame_35349,35349,P0,forehand_drop_cross,6,9,start,False,0.3,2,2,16,darkred,34.0,Bad (34%),forehand_drop_cross → forehand_netkeep → backhand_netkeep,35282,35421,1176067,1180700
2,17,2,frame_35823,35823,P0,backhand_netkeep,6,10,start,False,0.7,2,4,17,red,42.0,Poor (42%),backhand_netkeep → forehand_netkeep → backhand_push_cross,35789,35887,1192967,1196233
2,18,2,frame_36339,36339,P0,forehand_smash,6,11,start,False,1.0,2,5,18,red,,Error,P0 made an error,36273,36339,1209100,1211300
2,19,4,frame_36824,36824,P0,overhead_smash,6,12,championship,False,1.0,4,5,19,red,,Error,P0 made an error,36690,36824,1223000,1227467
2,20,2,frame_37248,37248,P0,forehand_clear,6,13,championship,False,0.45,2,3,20,red,42.0,Poor (42%),forehand_clear → overhead_clear → forehand_drop_cross,37181,37377,1239367,1245900
2,20,4,frame_37312,37312,P0,forehand_drop_cross,6,13,championship,False,0.3,4,2,20,darkred,34.0,Bad (34%),forehand_drop_cross → forehand_lift → overhead_drop_cross,37181,37377,1239367,1245900
2,20,6,frame_37377,37377,P0,overhead_drop_cross,6,13,championship,False,0.3,6,2,20,red,,Error,P0 made an error,37181,37377,1239367,1245900
2,21,2,frame_37838,37838,P0,overhead_clear,6,14,championship,False,0.45,2,3,21,red,42.0,Poor (42%),overhead_clear → forehand_clear → overhead_drop_cross,37773,37971,1259100,1265700
